date,warehouse,product_line,net_revenue
2021-08-28,Central,Electrical system,1216.2
2021-08-28,West,Miscellaneous,813.44
2021-08-28,West,Electrical system,563.85
2021-08-28,North,Electrical system,548.13
2021-08-28,North,Frame & body,521.5
2021-08-28,West,Breaking system,320.96
2021-08-28,Central,Miscellaneous,231.2
2021-08-28,North,Suspension & traction,184.42
2021-08-27,Central,Engine,2146.47
2021-08-27,Central,Electrical system,504.3
2021-08-27,North,Suspension & traction,444.84
2021-08-27,North,Electrical system,285.63
2021-08-27,West,Electrical system,85.89
2021-08-26,North,Breaking system,479.5
2021-08-26,North,Miscellaneous,214.1
2021-08-26,North,Suspension & traction,205.36
2021-08-26,North,Electrical system,128.43
2021-08-26,Central,Electrical system,73.82
2021-08-26,West,Breaking system,66.53
2021-08-26,Central,Miscellaneous,59.3
2021-08-26,Central,Breaking system,40.18
2021-08-25,North,Miscellaneous,603.77
2021-08-25,North,Engine,443.28
2021-08-25,Central,Frame & body,293.39
2021-08-25,North,Suspension & traction,259.12
2021-08-25,West,Breaking system,224.73
2021-08-25,Central,Electrical system,207.56
2021-08-25,Central,Breaking system,158.3
2021-08-25,North,Breaking system,94.35
2021-08-25,Central,Miscellaneous,56.16
2021-08-24,North,Suspension & traction,1036.93
2021-08-24,Central,Suspension & traction,973.74
2021-08-24,North,Electrical system,904.25
2021-08-24,North,Breaking system,199.62
2021-08-24,Central,Frame & body,159.41
2021-08-24,West,Miscellaneous,144.46
2021-08-24,Central,Electrical system,120.76
2021-08-24,West,Suspension & traction,78.08
2021-08-24,West,Breaking system,16.45
2021-08-23,North,Electrical system,560.74
2021-08-23,West,Electrical system,216.29
2021-08-23,West,Miscellaneous,119.43
2021-08-23,Central,Breaking system,105.43
2021-08-23,Central,Electrical system,101.93
2021-08-23,Central,Frame & body,97.77
2021-08-23,North,Breaking system,70.26
2021-08-22,Central,Frame & body,902.98
2021-08-22,Central,Suspension & traction,858.93
2021-08-22,Central,Electrical system,427.32
2021-08-22,Central,Breaking system,234.72
2021-08-22,North,Suspension & traction,217.4
2021-08-22,West,Suspension & traction,37.48
2021-08-21,North,Frame & body,1436.67
2021-08-21,West,Suspension & traction,509.61
2021-08-21,Central,Engine,473.23
2021-08-21,North,Electrical system,289.12
2021-08-21,North,Miscellaneous,153.88
2021-08-21,West,Breaking system,136.96
2021-08-21,North,Breaking system,109.48
2021-08-21,Central,Breaking system,94.36
2021-08-21,North,Suspension & traction,29.22
2021-08-20,Central,Frame & body,1775.31
2021-08-20,North,Suspension & traction,566.08
2021-08-20,North,Frame & body,500.39
2021-08-20,North,Breaking system,88.8
2021-08-20,Central,Breaking system,45.25
2021-08-20,North,Electrical system,32.52
2021-08-19,North,Suspension & traction,1511.31
2021-08-19,Central,Frame & body,665.31
2021-08-19,West,Breaking system,107.29
2021-08-19,North,Electrical system,107.04
2021-08-18,West,Breaking system,806.6
2021-08-18,North,Frame & body,764.78
2021-08-18,North,Electrical system,698.04
2021-08-18,Central,Frame & body,367.89
2021-08-18,North,Suspension & traction,365.94
2021-08-18,West,Suspension & traction,233.17
2021-08-18,Central,Suspension & traction,201.97
2021-08-18,West,Frame & body,187.71
2021-08-18,Central,Breaking system,99.13
2021-08-18,North,Breaking system,94.41
2021-08-18,Central,Miscellaneous,79.96
2021-08-18,North,Miscellaneous,41.08
2021-08-17,Central,Suspension & traction,1775.76
2021-08-17,West,Frame & body,448.86
2021-08-17,North,Suspension & traction,267.79
2021-08-17,North,Electrical system,262.59
2021-08-17,West,Breaking system,221.05
2021-08-17,Central,Electrical system,218.64
2021-08-17,North,Miscellaneous,217.79
2021-08-17,North,Breaking system,200.52
2021-08-17,West,Suspension & traction,150.35
2021-08-17,West,Electrical system,110.76
2021-08-17,Central,Breaking system,100.56
2021-08-16,West,Suspension & traction,297.55
2021-08-16,Central,Suspension & traction,221.91
2021-08-16,North,Frame & body,194.38
2021-08-16,North,Electrical system,100.79
2021-08-16,West,Breaking system,94.65
2021-08-16,Central,Breaking system,67.65
2021-08-15,North,Frame & body,1846.13
2021-08-15,Central,Breaking system,567.93
2021-08-15,Central,Frame & body,254.51
2021-08-15,Central,Suspension & traction,241.92
2021-08-15,North,Suspension & traction,151.65
2021-08-15,West,Miscellaneous,17.1
2021-08-14,Central,Frame & body,436.45
2021-08-14,North,Frame & body,363.33
2021-08-14,Central,Miscellaneous,251.7
2021-08-14,Central,Suspension & traction,163.76
2021-08-14,West,Electrical system,153.83
2021-08-14,North,Miscellaneous,119.68
2021-08-14,North,Suspension & traction,115.83
2021-08-14,West,Breaking system,98.17
2021-08-13,Central,Frame & body,2143.09
2021-08-13,Central,Suspension & traction,593.46
2021-08-13,North,Breaking system,464.4
2021-08-13,Central,Engine,414.33
2021-08-13,North,Electrical system,187.34
2021-08-13,Central,Electrical system,137.12
2021-08-13,North,Engine,132.19
2021-08-13,Central,Breaking system,25.73
2021-08-12,North,Frame & body,1784.88
2021-08-12,Central,Frame & body,981.36
2021-08-12,Central,Breaking system,719.63
2021-08-12,Central,Engine,637.63
2021-08-12,Central,Suspension & traction,601.13
2021-08-12,North,Electrical system,290.65
2021-08-12,Central,Electrical system,226.98
2021-08-12,West,Breaking system,212.6
2021-08-12,West,Suspension & traction,207.49
2021-08-12,Central,Miscellaneous,177.61
2021-08-12,West,Electrical system,156.59
2021-08-12,North,Breaking system,97.97
2021-08-11,Central,Engine,530.18
2021-08-11,Central,Suspension & traction,285.21
2021-08-11,Central,Breaking system,263.7
2021-08-11,North,Electrical system,193.12
2021-08-11,North,Miscellaneous,146.76
2021-08-11,West,Breaking system,100.67
2021-08-11,Central,Frame & body,90.96
2021-08-11,North,Breaking system,86.89
2021-08-10,Central,Engine,2412.17
2021-08-10,North,Frame & body,1392.53
2021-08-10,West,Breaking system,384.69
2021-08-10,Central,Suspension & traction,353.33
2021-08-10,Central,Electrical system,315.51
2021-08-10,Central,Frame & body,198.49
2021-08-10,West,Miscellaneous,157.55
2021-08-10,West,Electrical system,130.61
2021-08-10,North,Electrical system,98.45
2021-08-09,Central,Frame & body,1345.16
2021-08-09,North,Electrical system,841.6
2021-08-09,North,Suspension & traction,433.16
2021-08-09,West,Electrical system,151.28
2021-08-09,Central,Miscellaneous,126.77
2021-08-09,Central,Electrical system,112.08
2021-08-09,North,Breaking system,96.45
2021-08-09,Central,Suspension & traction,63.43
2021-08-08,Central,Engine,2546.33
2021-08-08,Central,Suspension & traction,1143.98
2021-08-08,North,Miscellaneous,420.61
2021-08-08,North,Frame & body,331.77
2021-08-08,North,Suspension & traction,284.3
2021-08-08,Central,Miscellaneous,114.59
2021-08-08,Central,Breaking system,53.67
2021-08-08,North,Electrical system,52.68
2021-08-08,West,Breaking system,47.87
2021-08-08,North,Breaking system,45.89
2021-08-07,Central,Suspension & traction,1060.52
2021-08-07,West,Breaking system,893.82
2021-08-07,West,Frame & body,829.7
2021-08-07,Central,Breaking system,748.69
2021-08-07,North,Miscellaneous,599.27
2021-08-07,North,Frame & body,507.39
2021-08-07,Central,Frame & body,449.94
2021-08-07,North,Electrical system,253.23
2021-08-07,North,Engine,234.47
2021-08-07,West,Suspension & traction,225.91
2021-08-07,North,Breaking system,196.39
2021-08-07,Central,Electrical system,129.31
2021-08-06,North,Suspension & traction,1788.32
2021-08-06,West,Electrical system,242.33
2021-08-06,Central,Electrical system,181.3
2021-08-06,Central,Breaking system,177.01
2021-08-06,Central,Miscellaneous,146.05
2021-08-06,North,Breaking system,93.14
2021-08-06,North,Electrical system,32.86
2021-08-05,Central,Suspension & traction,550.55
2021-08-05,North,Suspension & traction,516.81
2021-08-05,North,Electrical system,173.32
2021-08-05,Central,Breaking system,94.23
2021-08-04,North,Frame & body,1730.86
2021-08-04,Central,Frame & body,1646.78
2021-08-04,North,Electrical system,758.96
2021-08-04,Central,Suspension & traction,444.46
2021-08-04,Central,Miscellaneous,165.76
2021-08-04,Central,Breaking system,133.23
2021-08-04,West,Suspension & traction,31.17
2021-08-03,Central,Engine,3365.97
2021-08-03,Central,Miscellaneous,1508.6
2021-08-03,West,Suspension & traction,1080.8
2021-08-03,Central,Electrical system,825.32
2021-08-03,Central,Suspension & traction,559.98
2021-08-03,Central,Frame & body,449.57
2021-08-03,West,Frame & body,330.24
2021-08-03,Central,Breaking system,138.47
2021-08-03,North,Suspension & traction,114.16
2021-08-03,North,Breaking system,43.97
2021-08-02,North,Engine,2508.56
2021-08-02,North,Electrical system,894.84
2021-08-02,North,Breaking system,593.76
2021-08-02,North,Suspension & traction,412.64
2021-08-02,Central,Suspension & traction,283.9
2021-08-02,North,Frame & body,247.73
2021-08-02,Central,Miscellaneous,238.27
2021-08-02,North,Miscellaneous,103.11
2021-08-01,Central,Electrical system,1213.13
2021-08-01,West,Electrical system,967.53
2021-08-01,Central,Breaking system,820.33
2021-08-01,Central,Suspension & traction,566.15
2021-08-01,West,Suspension & traction,486.48
2021-08-01,North,Suspension & traction,229.05
2021-08-01,North,Electrical system,150.44
2021-08-01,North,Breaking system,112.3
2021-08-01,North,Engine,54.17
2021-07-31,Central,Suspension & traction,2405.26
2021-07-31,North,Frame & body,657.08
2021-07-31,Central,Frame & body,499.35
2021-07-31,Central,Breaking system,474.97
2021-07-31,Central,Electrical system,469.05
2021-07-31,West,Frame & body,391.1
2021-07-31,Central,Engine,186.7
2021-07-31,North,Miscellaneous,97.68
2021-07-31,West,Breaking system,38.51
2021-07-30,Central,Breaking system,805.6
2021-07-30,West,Miscellaneous,413.04
2021-07-30,North,Electrical system,242.47
2021-07-30,Central,Electrical system,113.91
2021-07-30,Central,Suspension & traction,88.75
2021-07-30,North,Suspension & traction,61.58
2021-07-30,North,Breaking system,48.21
2021-07-30,Central,Miscellaneous,22.29
2021-07-29,North,Miscellaneous,642.48
2021-07-29,Central,Suspension & traction,314.64
2021-07-29,West,Breaking system,190.93
2021-07-29,Central,Breaking system,151.82
2021-07-29,North,Electrical system,78.0
2021-07-29,Central,Electrical system,26.72
2021-07-28,North,Suspension & traction,1132.13
2021-07-28,Central,Electrical system,1117.13
2021-07-28,Central,Engine,522.5
2021-07-28,West,Engine,450.18
2021-07-28,North,Breaking system,401.96
2021-07-28,North,Miscellaneous,257.4
2021-07-28,West,Miscellaneous,232.63
2021-07-28,Central,Frame & body,222.72
2021-07-28,Central,Breaking system,167.49
2021-07-28,West,Suspension & traction,41.62
2021-07-27,Central,Suspension & traction,962.8
2021-07-27,Central,Miscellaneous,426.4
2021-07-27,Central,Engine,399.71
2021-07-27,Central,Frame & body,239.44
2021-07-27,West,Breaking system,109.4
2021-07-27,Central,Breaking system,49.96
2021-07-27,North,Electrical system,48.87
2021-07-27,North,Breaking system,17.58
2021-07-26,Central,Engine,1827.04
2021-07-26,Central,Suspension & traction,562.97
2021-07-26,North,Frame & body,286.79
2021-07-26,North,Electrical system,251.43
2021-07-26,West,Electrical system,155.03
2021-07-26,Central,Breaking system,120.11
2021-07-26,Central,Miscellaneous,116.67
2021-07-26,Central,Electrical system,108.38
2021-07-26,North,Miscellaneous,89.8
2021-07-26,North,Breaking system,82.03
2021-07-26,Central,Frame & body,48.08
2021-07-25,North,Suspension & traction,580.67
2021-07-25,Central,Suspension & traction,578.33
2021-07-25,Central,Frame & body,257.95
2021-07-25,Central,Electrical system,207.9
2021-07-25,Central,Miscellaneous,141.91
2021-07-25,West,Electrical system,91.8
2021-07-25,Central,Breaking system,44.59
2021-07-24,Central,Electrical system,495.31
2021-07-24,West,Frame & body,301.46
2021-07-24,West,Miscellaneous,126.23
2021-07-24,North,Miscellaneous,102.31
2021-07-24,Central,Miscellaneous,89.4
2021-07-23,North,Frame & body,1496.6
2021-07-23,Central,Breaking system,359.97
2021-07-23,West,Frame & body,344.74
2021-07-23,Central,Suspension & traction,326.45
2021-07-23,North,Suspension & traction,315.0
2021-07-23,Central,Miscellaneous,18.4
2021-07-22,West,Engine,319.72
2021-07-22,Central,Engine,169.96
2021-07-22,West,Frame & body,99.6
2021-07-22,North,Electrical system,97.32
2021-07-22,Central,Breaking system,82.55
2021-07-22,West,Breaking system,10.42
2021-07-21,Central,Frame & body,1546.6
2021-07-21,North,Engine,553.87
2021-07-21,Central,Miscellaneous,362.23
